2022-12-13\ICS-1380\logs\icsLog.txt:[ICS] [12/13/22 21:04:01] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 861. 	Threshold = 50. 	Count = 320. 	TimeStamp(hh:mm:ss) = 0:4:57.320206
2022-12-13\ICS-1380\logs\icsLog.txt:[ICS] [12/13/22 21:34:44] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 2252. 	Threshold = 50. 	Count = 343. 	TimeStamp(hh:mm:ss) = 0:13:13.740109
2023-01-11\ICS-1380\logs\icsLog.txt:[ICS] [01/11/23 18:03:05] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 237. 	Threshold = 50. 	Count = 181788. 	TimeStamp(hh:mm:ss) = 12:1:0.629406
2024-02-27\ICS-1380\logs\icsLog.txt:[ICS] [02/27/24 21:48:49] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 147. 	Threshold = 50. 	Count = 380172. 	TimeStamp(hh:mm:ss) = 15:32:32.606021
2024-05-01\ICS-1375\logs\icsLog.txt:[ICS] [05/01/24 08:12:21] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 155. 	Threshold = 50. 	Count = 51560. 	TimeStamp(hh:mm:ss) = 2:13:57.821394
2024-05-14\ICS-1381\logs\icsLog.txt:[ICS] [05/14/24 19:59:23] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 146. 	Threshold = 50. 	Count = 310045. 	TimeStamp(hh:mm:ss) = 12:39:19.778645
2024-06-13\ICS-1380\logs\icsLog.txt:[ICS] [06/13/24 17:39:16] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 139. 	Threshold = 50. 	Count = 298674. 	TimeStamp(hh:mm:ss) = 11:36:1.263736
2024-06-13\ICS-1380\logs\icsLog.txt:[ICS] [06/13/24 17:58:50] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 24438. 	Threshold = 50. 	Count = 1756. 	TimeStamp(hh:mm:ss) = 11:55:35.341313
2024-06-14\ICS-1380\logs\icsLog.txt:[ICS] [06/14/24 16:19:23] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 33637. 	Threshold = 50. 	Count = 1940. 	TimeStamp(hh:mm:ss) = 18:7:57.579661
2024-06-28\ICS-1381\logs\icsLog.txt:[ICS] [06/28/24 14:15:00] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 151. 	Threshold = 50. 	Count = 194409. 	TimeStamp(hh:mm:ss) = 8:10:1.485077
2024-07-03\ICS-1381\logs\icsLog.txt:[ICS] [07/03/24 21:40:18] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 130. 	Threshold = 50. 	Count = 434302. 	TimeStamp(hh:mm:ss) = 15:48:2.133001
2024-07-23\ICS-1375\logs\icsLog.txt:[ICS] [07/23/24 08:28:18] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 161. 	Threshold = 50. 	Count = 54571. 	TimeStamp(hh:mm:ss) = 2:27:11.085671
2024-08-09\ICS-1375\logs\icsLog.txt:[ICS] [08/09/24 17:06:44] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 194. 	Threshold = 50. 	Count = 205159. 	TimeStamp(hh:mm:ss) = 11:3:49.794201
2024-10-08\ICS-1382\logs\icsLog.txt:[ICS] [10/08/24 20:45:02] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 140. 	Threshold = 50. 	Count = 378494. 	TimeStamp(hh:mm:ss) = 14:44:20.902943
2024-11-01\ICS-1382\logs\icsLog.txt:[ICS] [11/01/24 21:37:10] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 140. 	Threshold = 50. 	Count = 394781. 	TimeStamp(hh:mm:ss) = 15:26:25.394988
2024-11-27\ICS-1381\logs\icsLog.txt:[ICS] [11/27/24 20:18:31] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 156. 	Threshold = 50. 	Count = 327463. 	TimeStamp(hh:mm:ss) = 14:16:28.526087
2025-02-05\ICS-1381\logs\icsLog.txt:[ICS] [02/05/25 11:11:58] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1112. 	Threshold = 50. 	Count = 16559. 	TimeStamp(hh:mm:ss) = 5:7:36.259006
2025-02-07\ICS-1375\logs\icsLog.txt:[ICS] [02/07/25 17:39:57] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 237. 	Threshold = 50. 	Count = 31384. 	TimeStamp(hh:mm:ss) = 2:4:47.342768
2025-02-07\ICS-1380\logs\icsLog.txt:[ICS] [02/07/25 17:43:02] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1244. 	Threshold = 50. 	Count = 15255. 	TimeStamp(hh:mm:ss) = 5:16:50.512990
2025-02-12\ICS-1377_B\logs\icsLog.txt:[ICS] [02/12/25 14:53:04] (I) Signal DPGP3, 	Rising front 	Current DeltaTime = 88. 	Mean DeltaTime = 595. 	Threshold = 200. 	Count = 50652. 	TimeStamp(hh:mm:ss) = 8:22:56.850888
2025-02-12\ICS-1377_B\logs\icsLog.txt:[ICS] [02/12/25 14:53:04] (I) Signal DP3W, 	Rising front 	Current DeltaTime = 154. 	Mean DeltaTime = 595. 	Threshold = 200. 	Count = 50657. 	TimeStamp(hh:mm:ss) = 8:22:56.916908
2025-02-18\ICS-1375\logs\icsLog.txt:[ICS] [02/18/25 11:50:42] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 365. 	Threshold = 50. 	Count = 56854. 	TimeStamp(hh:mm:ss) = 5:46:34.241112
2025-02-19\ICS-1375\logs\icsLog.txt:[ICS] [02/19/25 09:03:14] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 233. 	Threshold = 50. 	Count = 46118. 	TimeStamp(hh:mm:ss) = 2:59:59.654387
2025-02-21\ICS-1375\logs\icsLog.txt:[ICS] [02/21/25 09:05:59] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 142. 	Threshold = 50. 	Count = 77198. 	TimeStamp(hh:mm:ss) = 3:3:21.929078
2025-02-21\ICS-1380\logs\icsLog.txt:[ICS] [02/21/25 19:58:52] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 143. 	Threshold = 50. 	Count = 330186. 	TimeStamp(hh:mm:ss) = 13:11:5.620608
2025-02-25\ICS-1375\logs\icsLog.txt:[ICS] [02/25/25 09:53:46] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 168. 	Threshold = 50. 	Count = 86209. 	TimeStamp(hh:mm:ss) = 4:2:13.651031
2025-02-26\ICS-1375\logs\icsLog.txt:[ICS] [02/26/25 19:28:43] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 150. 	Threshold = 50. 	Count = 325700. 	TimeStamp(hh:mm:ss) = 13:40:8.286877
2025-02-28\ICS-1375\logs\icsLog.txt:[ICS] [02/28/25 09:39:48] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 142. 	Threshold = 50. 	Count = 91871. 	TimeStamp(hh:mm:ss) = 3:38:58.741699
