2022-12-15\ICS-1412\logs\icsLog.txt:[ICS] [12/15/22 06:57:05] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 3131. 	Threshold = 50. 	Count = 1666. 	TimeStamp(hh:mm:ss) = 1:30:57.941432
2022-12-16\ICS-1412\logs\icsLog.txt:[ICS] [12/16/22 06:03:20] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 18218. 	Threshold = 50. 	Count = 130. 	TimeStamp(hh:mm:ss) = 0:41:31.910681
2022-12-19\ICS-1412\logs\icsLog.txt:[ICS] [12/19/22 06:03:25] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 20325. 	Threshold = 50. 	Count = 126. 	TimeStamp(hh:mm:ss) = 0:44:55.400106
2022-12-19\ICS-1412\logs\icsLog.txt:[ICS] [12/19/22 08:52:37] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 48. 	Mean DeltaTime = 60954. 	Threshold = 50. 	Count = 202. 	TimeStamp(hh:mm:ss) = 3:34:13.572091
2022-12-20\ICS-1412\logs\icsLog.txt:[ICS] [12/20/22 07:10:12] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 47695. 	Threshold = 50. 	Count = 122. 	TimeStamp(hh:mm:ss) = 1:41:25.688910
2022-12-21\ICS-1412\logs\icsLog.txt:[ICS] [12/21/22 06:25:13] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 21161. 	Threshold = 50. 	Count = 126. 	TimeStamp(hh:mm:ss) = 0:46:41.472681
2022-12-22\ICS-1412\logs\icsLog.txt:[ICS] [12/22/22 06:15:51] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 17213. 	Threshold = 50. 	Count = 126. 	TimeStamp(hh:mm:ss) = 0:38:3.295888
2022-12-23\ICS-1412\logs\icsLog.txt:[ICS] [12/23/22 06:12:50] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 5765. 	Threshold = 50. 	Count = 366. 	TimeStamp(hh:mm:ss) = 0:37:2.669041
2022-12-26\ICS-1412\logs\icsLog.txt:[ICS] [12/26/22 06:58:02] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 1237. 	Threshold = 50. 	Count = 1218. 	TimeStamp(hh:mm:ss) = 0:26:36.019315
2022-12-27\ICS-1412\logs\icsLog.txt:[ICS] [12/27/22 07:02:50] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 920. 	Threshold = 50. 	Count = 2943. 	TimeStamp(hh:mm:ss) = 0:47:26.816546
2023-01-02\ICS-1412\logs\icsLog.txt:[ICS] [01/02/23 08:43:41] (I) Signal DFGO, 	Rising front 	Current DeltaTime = 49. 	Mean DeltaTime = 6906. 	Threshold = 50. 	Count = 778. 	TimeStamp(hh:mm:ss) = 1:33:40.143386
